COMMON_NAME,BREEDING_CODE,SUITABILITY_TEXT,SUITABILITY
Black Skimmer,CF,F,1
Black Skimmer,CN,,0
Black Skimmer,DD,,0
Black Skimmer,FL,,0
Black Skimmer,FS,,0
Black Skimmer,FY,,0
Black Skimmer,NB,,0
Black Skimmer,NE,,0
Black Skimmer,NY,,0
Black Skimmer,ON,,0
Black Skimmer,PE,,0
Black Skimmer,UN,,0
Roseate Tern,F,S,0
Roseate Tern,H,,0
Roseate Tern,S,,0
Roseate Tern,A,,0
Roseate Tern,B,U,2
Roseate Tern,C,,0
Roseate Tern,M,,0
Roseate Tern,N,,0
Roseate Tern,P,,0
Roseate Tern,S7,,0
Roseate Tern,T,,0
Roseate Tern,CF,F,1
Roseate Tern,CN,,0
Roseate Tern,DD,,0
Roseate Tern,FL,,0
Roseate Tern,FS,,0
Roseate Tern,FY,,0
Roseate Tern,NB,,0
Roseate Tern,NE,,0
Roseate Tern,NY,,0
Roseate Tern,ON,,0
Roseate Tern,PE,,0
Roseate Tern,UN,,0
Forsters Tern,F,S,0
Forsters Tern,H,,0
Forsters Tern,S,,0
Forsters Tern,A,,0
Forsters Tern,B,U,2
Forsters Tern,C,,0
Forsters Tern,M,,0
Forsters Tern,N,,0
Forsters Tern,P,,0
Forsters Tern,S7,,0
Forsters Tern,T,,0
Forsters Tern,CF,F,1
Forsters Tern,CN,,0
Forsters Tern,DD,,0
Forsters Tern,FL,,0
Forsters Tern,FS,,0
Forsters Tern,FY,,0
Forsters Tern,NB,,0
Forsters Tern,NE,,0
Forsters Tern,NY,,0
Forsters Tern,ON,,0
Forsters Tern,PE,,0
Forsters Tern,UN,,0
Common Tern,F,S,0
Common Tern,H,,0
Common Tern,S,,0
Common Tern,A,,0
Common Tern,B,U,2
Common Tern,C,,0
Common Tern,M,,0
Common Tern,N,,0
Common Tern,P,,0
Common Tern,S7,,0
Common Tern,T,,0
Common Tern,CF,F,1
Common Tern,CN,,0
Common Tern,DD,,0
Common Tern,FL,,0
Common Tern,FS,,0
Common Tern,FY,,0
Common Tern,NB,,0
Common Tern,NE,,0
Common Tern,NY,,0
Common Tern,ON,,0
Common Tern,PE,,0
Common Tern,UN,,0
Least Tern,F,S,0
Least Tern,H,,0
Least Tern,S,,0
Least Tern,A,,0
Least Tern,B,U,2
Least Tern,C,,0
Least Tern,M,,0
Least Tern,N,,0
Least Tern,P,,0
Least Tern,S7,,0
Least Tern,T,,0
Least Tern,CF,F,1
Least Tern,CN,,0
Least Tern,DD,,0
Least Tern,FL,,0
Least Tern,FS,,0
Least Tern,FY,,0
Least Tern,NB,,0
Least Tern,NE,,0
Least Tern,NY,,0
Least Tern,ON,,0
Least Tern,PE,,0
Least Tern,UN,,0
Royal Tern,F,S,0
Royal Tern,H,,0
Royal Tern,S,,0
Royal Tern,A,,0
Royal Tern,B,U,2
Royal Tern,C,,0
Royal Tern,M,,0
Royal Tern,N,,0
Royal Tern,P,,0
Royal Tern,S7,,0
Royal Tern,T,,0
Royal Tern,CF,F,1
Royal Tern,CN,,0
Royal Tern,DD,,0
Royal Tern,FL,,0
Royal Tern,FS,,0
Royal Tern,FY,,0
Royal Tern,NB,,0
Royal Tern,NE,,0
Royal Tern,NY,,0
Royal Tern,ON,,0
Royal Tern,PE,,0
Royal Tern,UN,,0
Sandwich Tern,F,S,0
Sandwich Tern,H,,0
Sandwich Tern,S,,0
Sandwich Tern,A,,0
Sandwich Tern,B,U,2
Sandwich Tern,C,,0
Sandwich Tern,M,,0
Sandwich Tern,N,,0
Sandwich Tern,P,,0
Sandwich Tern,S7,,0
Sandwich Tern,T,,0
Sandwich Tern,CF,F,1
Sandwich Tern,CN,,0
Sandwich Tern,DD,,0
Sandwich Tern,FL,,0
Sandwich Tern,FS,,0
Sandwich Tern,FY,,0
Sandwich Tern,NB,,0
Sandwich Tern,NE,,0
Sandwich Tern,NY,,0
Sandwich Tern,ON,,0
Sandwich Tern,PE,,0
Sandwich Tern,UN,,0
Black-necked Stilt,F,S,0
Black-necked Stilt,H,,0
